datetime,CFFEX.IF1903.open,CFFEX.IF1903.high,CFFEX.IF1903.low,CFFEX.IF1903.close,CFFEX.IF1903.volume,CFFEX.IF1903.open_oi,CFFEX.IF1903.close_oi
2019-03-13 09:30:00.000000000,3750.4,3753.6,3746.2,3748.4,1077,54389,53583
2019-03-13 09:31:00.000000000,3748.4,3748.8,3743.4,3746.0,498,53583,53241
2019-03-13 09:32:00.000000000,3746.0,3750.6,3745.2,3750.0,526,53241,52873
2019-03-13 09:33:00.000000000,3750.0,3756.0,3749.8,3753.4,585,52873,52412
2019-03-13 09:34:00.000000000,3753.4,3753.6,3742.2,3742.8,742,52412,51865
2019-03-13 09:35:00.000000000,3742.8,3743.8,3736.0,3738.6,626,51865,51430
2019-03-13 09:36:00.000000000,3738.6,3739.6,3734.2,3734.2,649,51430,51028
2019-03-13 09:37:00.000000000,3734.2,3741.2,3733.6,3741.2,470,51028,50760
2019-03-13 09:38:00.000000000,3741.2,3743.2,3739.6,3741.2,424,50760,50462
2019-03-13 09:39:00.000000000,3741.2,3742.6,3737.0,3742.6,385,50462,50272
2019-03-13 09:40:00.000000000,3742.6,3743.8,3737.8,3743.4,311,50272,50115
2019-03-13 09:41:00.000000000,3743.4,3746.8,3741.6,3746.8,389,50115,49898
2019-03-13 09:42:00.000000000,3746.8,3747.2,3740.0,3740.0,552,49898,49617
2019-03-13 09:43:00.000000000,3740.0,3744.2,3740.0,3744.2,278,49617,49464
2019-03-13 09:44:00.000000000,3744.2,3744.8,3740.2,3742.0,271,49464,49309
2019-03-13 09:45:00.000000000,3742.0,3742.0,3736.6,3739.4,392,49309,49154
2019-03-13 09:46:00.000000000,3739.4,3745.0,3738.8,3744.0,317,49154,49026
2019-03-13 09:47:00.000000000,3744.0,3747.8,3742.2,3746.0,441,49026,48804
2019-03-13 09:48:00.000000000,3746.0,3749.6,3745.6,3749.4,319,48804,48646
2019-03-13 09:49:00.000000000,3749.4,3750.0,3746.2,3747.2,397,48646,48450
2019-03-13 09:50:00.000000000,3747.2,3748.8,3746.4,3748.8,282,48450,48287
2019-03-13 09:51:00.000000000,3748.8,3749.0,3743.0,3744.4,332,48287,48130
2019-03-13 09:52:00.000000000,3744.4,3745.2,3742.6,3744.0,217,48130,48056
2019-03-13 09:53:00.000000000,3744.0,3747.0,3743.8,3745.6,210,48056,47948
2019-03-13 09:54:00.000000000,3745.6,3746.8,3742.2,3745.4,206,47948,47835
2019-03-13 09:55:00.000000000,3745.4,3745.8,3739.2,3741.2,353,47835,47656
2019-03-13 09:56:00.000000000,3741.2,3741.2,3737.6,3738.2,314,47656,47489
2019-03-13 09:57:00.000000000,3738.2,3740.0,3737.4,3737.4,311,47489,47329
2019-03-13 09:58:00.000000000,3737.4,3738.4,3736.0,3737.2,366,47329,47141
2019-03-13 09:59:00.000000000,3737.2,3740.0,3736.4,3738.6,312,47141,46992
2019-03-13 10:00:00.000000000,3738.6,3738.8,3731.2,3731.6,571,46992,46647
2019-03-13 10:01:00.000000000,3731.6,3735.6,3731.6,3734.4,349,46647,46489
2019-03-13 10:02:00.000000000,3734.4,3736.2,3731.6,3734.6,294,46489,46373
2019-03-13 10:03:00.000000000,3734.6,3740.0,3734.6,3739.2,303,46373,46208
2019-03-13 10:04:00.000000000,3739.2,3740.2,3738.0,3739.8,204,46208,46107
2019-03-13 10:05:00.000000000,3739.8,3739.8,3736.6,3737.2,211,46107,46019
2019-03-13 10:06:00.000000000,3737.2,3739.4,3736.6,3737.8,139,46019,45952
2019-03-13 10:07:00.000000000,3737.8,3738.0,3729.2,3729.2,365,45952,45809
2019-03-13 10:08:00.000000000,3729.2,3731.4,3723.6,3723.6,562,45809,45509
2019-03-13 10:09:00.000000000,3723.6,3726.0,3722.2,3723.2,472,45509,45306
2019-03-13 10:10:00.000000000,3723.2,3725.8,3722.0,3722.2,458,45306,45183
2019-03-13 10:11:00.000000000,3722.2,3724.8,3716.4,3720.6,604,45183,44922
2019-03-13 10:12:00.000000000,3720.6,3723.8,3718.4,3723.6,469,44922,44773
2019-03-13 10:13:00.000000000,3723.6,3726.2,3722.4,3724.2,374,44773,44614
2019-03-13 10:14:00.000000000,3724.2,3726.8,3724.2,3725.8,265,44614,44522
2019-03-13 10:15:00.000000000,3725.8,3726.8,3724.4,3725.0,210,44522,44449
2019-03-13 10:16:00.000000000,3725.0,3725.6,3723.2,3723.6,237,44449,44355
2019-03-13 10:17:00.000000000,3723.6,3728.2,3723.0,3726.2,310,44355,44216
2019-03-13 10:18:00.000000000,3726.2,3727.0,3721.4,3722.0,333,44216,44076
2019-03-13 10:19:00.000000000,3722.0,3722.0,3717.2,3719.8,492,44076,43894
2019-03-13 10:20:00.000000000,3719.8,3719.8,3713.6,3714.4,623,43894,43684
2019-03-13 10:21:00.000000000,3714.4,3718.2,3713.2,3716.4,424,43684,43520
2019-03-13 10:22:00.000000000,3716.4,3718.8,3714.0,3717.2,312,43520,43419
2019-03-13 10:23:00.000000000,3717.2,3721.4,3716.4,3719.8,329,43419,43293
2019-03-13 10:24:00.000000000,3719.8,3720.0,3714.2,3717.6,304,43293,43214
2019-03-13 10:25:00.000000000,3717.6,3722.8,3716.4,3722.6,303,43214,43124
2019-03-13 10:26:00.000000000,3722.6,3723.4,3721.0,3721.6,243,43124,43037
2019-03-13 10:27:00.000000000,3721.6,3722.0,3717.4,3719.8,256,43037,42968
